"episodes_total","training.model.use_lstm: true - _step","training.model.use_lstm: true - _step__MIN","training.model.use_lstm: true - _step__MAX","training.model.use_lstm: true - episode_len_mean","training.model.use_lstm: true - episode_len_mean__MIN","training.model.use_lstm: true - episode_len_mean__MAX"
"4265","40","40","40","77.94","77.94","77.94"
"4266","42","42","42","72.13","72.13","72.13"
"4269","41","41","41","70.28999999999999","68.16","72.42"
"4274","40","40","40","78.66","78.66","78.66"
"4275","41","41","41","81.57","81.57","81.57"
"4289","40","40","40","61.12","61.12","61.12"
"4294","41","41","41","73.99","73.99","73.99"
"4325","40","40","40","66.55","66.55","66.55"
"4329","43","43","43","91.32","91.32","91.32"
"4335","43","43","43","91.54","91.54","91.54"
"4338","42","42","42","83.73","83.73","83.73"
"4341","42","42","42","79.31","79.31","79.31"
"4348","41","41","41","68.62","68.62","68.62"
"4350","40","40","40","70.41","70.41","70.41"
"4372","41","41","41","68.04","68.04","68.04"
"4376","43","43","43","74.5","74.5","74.5"
"4383","42","42","42","86.21","86.21","86.21"
"4384","41.5","41","42","72.83","71.63","74.03"
"4388","42","42","42","67.42","67.42","67.42"
"4389","41","41","41","70.55","70.55","70.55"
"4418","41.5","41","42","66.275","65.16","67.39"
"4430","44","44","44","93.51","93.51","93.51"
"4436","44","44","44","87.12","87.12","87.12"
"4444","41","41","41","71.93","71.93","71.93"
"4446","43","43","43","79.24","79.24","79.24"
"4449","43","43","43","80.91","80.91","80.91"
"4471","41","41","41","67.84","67.84","67.84"
"4474","42","42","42","69.24","69.24","69.24"
"4485","42","42","42","73.21","73.21","73.21"
"4488","44","44","44","79.26","79.26","79.26"
"4496","43","43","43","76.01","76.01","76.01"
"4500","43","43","43","70.28","70.28","70.28"
"4501","42","42","42","73.8","73.8","73.8"
"4509","42","42","42","66.58","66.58","66.58"
"4515","43","43","43","63.53","63.53","63.53"
"4536","42.5","42","43","70.905","67.85","73.96"
"4537","45","45","45","92.34","92.34","92.34"
"4538","45","45","45","79.62","79.62","79.62"
"4560","44","44","44","75.36","75.36","75.36"
"4563","44","44","44","75.67","75.67","75.67"
"4564","42","42","42","66.3","66.3","66.3"
"4586","43","43","43","70.33","70.33","70.33"
"4595","42","42","42","69.64","69.64","69.64"
"4603","44","43","45","74.25","73.63","74.87"
"4604","43","43","43","93.92","93.92","93.92"
"4623","44","44","44","65.8","65.8","65.8"
"4624","44","44","44","64.83","64.83","64.83"
"4625","43","43","43","75.32","75.32","75.32"
"4640","44","44","44","64.53","64.53","64.53"
"4644","46","46","46","85.04","85.04","85.04"
"4647","44","44","44","75.09","75.09","75.09"
"4648","46","46","46","76.8","76.8","76.8"
"4652","43","43","43","73.07","73.07","73.07"
"4670","45","45","45","82.51","82.51","82.51"
"4676","45","45","45","70.14","70.14","70.14"
"4677","43","43","43","70.96","70.96","70.96"
"4702","44","44","44","75.46","75.46","75.46"
"4704","46","46","46","83.03","83.03","83.03"
"4708","44","44","44","87.68","87.68","87.68"
"4719","43","43","43","68.05","68.05","68.05"
"4721","44","44","44","70.58","70.58","70.58"
"4742","44","44","44","68.87","68.87","68.87"
"4743","45","45","45","69.4","69.4","69.4"
"4745","45","45","45","62.43","62.43","62.43"
"4752","47","47","47","81.7","81.7","81.7"
"4763","46","45","47","69.82","65.62","74.02"
"4765","45","45","45","68.01","68.01","68.01"
"4774","44","44","44","70.33","70.33","70.33"
"4780","46","46","46","78.39","78.39","78.39"
"4789","46","46","46","72.75","72.75","72.75"
"4797","44","44","44","69.08","69.08","69.08"
"4809","45","45","45","91.31","91.31","91.31"
"4817","45","45","45","72.95","72.95","72.95"
"4824","47","47","47","71.96","71.96","71.96"
"4837","45","45","45","67.82","67.82","67.82"
"4838","44","44","44","69.58","69.58","69.58"
"4853","46","46","46","80.43","80.43","80.43"
"4857","48","48","48","84.22","84.22","84.22"
"4861","45","45","45","65.01","65.01","65.01"
"4873","48","48","48","78.57","78.57","78.57"
"4880","46","46","46","64.22","64.22","64.22"
"4894","46","46","46","64.62","64.62","64.62"
"4895","46","46","46","59.99","59.99","59.99"
